Name,Kind,Slot,HitKind,MultPve,MultPvp,Notes
Aged One's Exultation,Talisman,Passive,Ranged,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,RangedAimed,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Roar,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,RollBackstep,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,Storm,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,ThrownWeapon,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Aged One's Exultation,Talisman,Passive,TwoHanded,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when madness is triggered within 7m
Arrow's Soaring Sting Talisman,Talisman,Passive,All,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Skill,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,ChargedSkill,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Crit,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Jump,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,ChargedR2,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Successive,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Physical,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Dashing,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,FinalLight,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,GuardCounter,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Horseback,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,KickStomp,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Magma,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Perfume,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Pot,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Ranged,1.08,1.08,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,RangedAimed,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Roar,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,RollBackstep,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,Storm,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,ThrownWeapon,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Soaring Sting Talisman,Talisman,Passive,TwoHanded,1.0,1.0,Increases damage by 1.08x (holy bugged in PvP: 1x) with arrow / bolt attacks and bowDistRate by 50
Arrow's Sting Talisman,Talisman,Passive,All,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Skill,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,ChargedSkill,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Crit,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Jump,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,ChargedR2,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Successive,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Physical,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Dashing,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,FinalLight,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,GuardCounter,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Horseback,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,KickStomp,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Magma,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Perfume,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Pot,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Ranged,1.1,1.1,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,RangedAimed,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Roar,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,RollBackstep,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,Storm,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,ThrownWeapon,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Arrow's Sting Talisman,Talisman,Passive,TwoHanded,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with arrow / bolt attacks
Axe Talisman,Talisman,Passive,All,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Skill,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,ChargedSkill,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Crit,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Jump,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,ChargedR2,1.1,1.1,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Successive,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Physical,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Dashing,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,FinalLight,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,GuardCounter,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Horseback,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,KickStomp,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Magma,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Perfume,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Pot,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Ranged,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,RangedAimed,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Roar,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,RollBackstep,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,Storm,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,ThrownWeapon,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Axe Talisman,Talisman,Passive,TwoHanded,1.0,1.0,Increases damage by 1.1x (holy bugged in PvP: 1x) with charged R2s
Blade of Mercy,Talisman,Passive,All,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Skill,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,ChargedSkill,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Crit,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Jump,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,ChargedR2,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Successive,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Physical,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Dashing,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,FinalLight,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,GuardCounter,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Horseback,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,KickStomp,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Magma,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Perfume,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Pot,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Ranged,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,RangedAimed,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Roar,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,RollBackstep,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,Storm,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,ThrownWeapon,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Blade of Mercy,Talisman,Passive,TwoHanded,1.2,1.12,Increases damage by 1.2x (1.12x in PvP) for 20 seconds after performing a critical attack
Claw Talisman,Talisman,Passive,All,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Skill,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,ChargedSkill,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Crit,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Jump,1.15,1.075,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,ChargedR2,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Successive,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Physical,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Dashing,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,FinalLight,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,GuardCounter,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Horseback,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,KickStomp,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Magma,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Perfume,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Pot,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Ranged,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,RangedAimed,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Roar,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,RollBackstep,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,Storm,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,ThrownWeapon,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Claw Talisman,Talisman,Passive,TwoHanded,1.0,1.0,Increases damage by 1.15x (1.075x in PvP)  with jump attacks
Companion Jar,Talisman,Passive,All,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Skill,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,ChargedSkill,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Crit,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Jump,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,ChargedR2,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Successive,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Physical,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Dashing,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,FinalLight,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,GuardCounter,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Horseback,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,KickStomp,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Magma,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Perfume,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Pot,1.2,1.2,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Ranged,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,RangedAimed,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Roar,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,RollBackstep,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,Storm,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,ThrownWeapon,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Companion Jar,Talisman,Passive,TwoHanded,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with Cracked / Ritual Pot attacks & 1.1x (holy bugged in PvP: 1x) with Hefty Cracked Pot attacks
Curved Sword Talisman,Talisman,Passive,All,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Skill,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,ChargedSkill,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Crit,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Jump,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,ChargedR2,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Successive,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Physical,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Dashing,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,FinalLight,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,GuardCounter,1.2,1.2,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Horseback,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,KickStomp,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Magma,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Perfume,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Pot,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Ranged,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,RangedAimed,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Roar,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,RollBackstep,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,Storm,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,ThrownWeapon,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Curved Sword Talisman,Talisman,Passive,TwoHanded,1.0,1.0,Increases damage by 1.2x (holy bugged in PvP: 1x) with guard counters
Dried Bouquet,Talisman,Passive,All,1.2,1.2,Increases damage by 1.2x for 30 seconds after spirit ash death
Dried Bouquet,Talisman,Passive,Skill,1.2,1.2,Increases damage by 1.2x for 30 seconds after spirit ash death
Dried Bouquet,Talisman,Passive,ChargedSkill,1.2,1.2,Increases damage by 1.2x for 30 seconds after spirit ash death
